Title,Takeaway,Authors,Year,Citations,Abstract,Study Type,Journal,Journal SJR Quartile,DOI,Consensus Link
"The Rise of Dispersed Ownership: The Roles of Law and the State in the Separation of Ownership and Control","The rise of dispersed ownership in the United States securities market was influenced by the NYSE's exclusive nature and the LSE's open policy, which led to the development of a liquid equity market more quickly than in the UK.","Coffee, C. John",2001,381,"id=206448. 121. Ironically, economic analysis today regards the issuance of nonvoting common stock as essentially innocuous, as the purchasers will pay little for such a security and hence they risk little. Imaged with the Permission of Yale Law Journal [Vol. 111: 1 The Rise of Dispersed Ownership The point of this story is not that the NYSE has always behaved as a public-regarding, altruistically motivated entity. Rather, it is that for a variety of path-dependent reasons, the NYSE organized itself as an exclusive, high-quality securities market that would list only securities that were suitable for the public investor-while the LSE did not. In the total absence of legal requirements, the NYSE imposed mandatory disclosure obligations on its listed firms and protected shareholder voting rights. Correspondingly, the larger size of U.S. brokerage firms, which again was originally attributable to differences in the organizational rules of the NYSE and the LSE, gave U.S. brokers greater ability to underwrite securities and to develop and pledge their reputational capital to their investor customers. These two developments-the development of a monitoring capacity by the NYSE and the bonding mechanisms first developed by U.S. underwriters to attract foreign capital-constitute the twin pillars that supported the development of a liquid equity securities market in the United States. Such a public market arose more quickly in the United States than in the United Kingdom. For example, by 1907, one Wall Street firm already had 22,000 customers, 122 indicating that it was providing services on a mass scale. Yet, the legal framework that today characterizes the United States securities markets did not arise until decades later. B. The British Experience In contrast to the high listing standards that the NYSE imposed by the late 1800s, the LSE's basic policy was to list any security that was expected to generate business.'23 Only in ""rare cases, where something adverse was known about the security and the circumstances surrounding its issue,"" would a listing application be denied for reasons other than lack of trading interest.124 Of course, this attitude reflected the natural attitude of an ""open"" exchange with broad membership: More listings implied more business, and the failure of an occasional brokerage firm (which were characteristically smaller in size) did not constitute as serious a threat to the LSE as it did to the NYSE-in part because the LSE had a considerably More sinister in the view of most recent commentators is the issuance of a high-voting security after common stock has been sold to public investors, because this later issuance dilutes the voting power of outstanding shares. Ronald J. Gilson, Evaluating Dual Class Common Stock: The Relevance of Substitutes, 73 VA. L. REv. 807, 840-42 (1987); Jeffrey N. Gordon, Ties That Bond: Dual Class Common Stock and the Problem of Shareholder Choice, 76 CAL. L. REV. 3, 4 (1988). Yet, however myopic its original purpose, the NYSE's ""one share, one vote"" rules served to protect common shareholders from any significant dilution of their voting power. 122. MICHIE, supra note 70, at 228. 123. MICHIE, supra note 113, at 96. 124. Id. Imaged with the Permission of Yale Law Journal 2001] The Yale Law Journal deeper capital base. 2 ' Finally, stock issuances were typically arranged in the United Kingdom by stock promoters, not the largest merchant banks. These promoters often had unsavory reputations and little reputational capital to pledge.'26 Given the LSE's laissez-faire approach and, indeed, its caveat emptor attitude, it is thus not surprising that the public equity market developed more slowly in the United Kingdom than in the United States. Exactly when dispersed ownership arrived in the United Kingdom is debatable. In 1936, the median proportion of the voting share held by the twenty largest shareholders in the eighty-two largest nonfinancial U.K. corporations was approximately 40% (whereas the same ownership level for U.S. corporations was then 28%).27 Moreover, in 40% of U.K. companies, the twenty largest shareholders held a collective absolute majority. 128 Thus, although share ownership may have been dispersed, the separation of ownership and control had not yet truly occurred. A parallel study based on 1977 data found that the largest twenty shareholders then held between 20% and 29% of the voting stock. 29 Although such a block might still carry control, it is doubtful that the twenty largest shareholders were by this point truly a cohesive group, as institutional investors were now heavily represented in the top twenty. 3 ° Hence, sometime between the late 1930s and the mid1970s, ownership and control probably separated in most U.K. companies. 3 ' The deeper question is not when dispersed ownership arrived, but why it occurred. In the absence of high listing standards or underwriting practices that placed the reputational capital of credible financial intermediaries behind most offerings, why did public investors place trust and confidence in the United Kingdom market? 125. MICHIE, supra note 70, at 272 (noting that the NYSE's capitalization was one-third that of the LSE). 126. For this common assessment, see W.A. THOMAS, THE FINANCE OF BRITISH INDUSTRY 23 (1978); and John Armstrong, The Rise and Fall of the Company Promoter and the Financing of British Industry, in CAPITALISM IN A MATURE ECONOMY 115, 130-31 (J.J. Van Helten & Y. Cassis eds., 1990). 127. P. SARGANT FLORENCE, THE LOGIC OF BRITISH AND AMERICAN INDUSTRY 189 (1953). 128. ld. 129. JOHN SCOTT, CAPITALIST PROPERTY AND FINANCIAL POWER 95 (1986). For a review of this literature, see Bernard S. Black & John C. Coffee, Jr., Hail Britannia?: Institutional Investor Behavior Under Limited Regulation, 92 MICH. L. REV. 1997, 2029-33 (1994). 130. Id. at 2030-31 (analyzing the list of twenty largest shareholders in Scott's study). 131. Cambridge University Professor Brian Cheffins opines that ""[t]here is some evidence which suggests that the period prior to 1950 was pivotal."" CHEFFINS, supra note 20, at 19. While he is equivocal about 1950, he is more convinced that it arrived before 1970. Leslie Hannah, a British business historian, similarly concludes that the separation of ownership and control was established in Britain by the middle of the twentieth century. LESLIE HANNAH, THE RISE OF THE CORPORATE ECONOMY 90-91, 123-24 (2d ed. 1976); CHEFFINS, supra note 20, at 22. These dates precede the appearance of Margaret Thatcher on the political scene and suggest that dispersed ownership arrived during a social-democratic era in Britain. Imaged with the Permission of Yale Law Journal [Vol. Illl: 1 The Rise of Dispersed Ownership Several tentative hypotheses can be advanced. First, less effort may have been expended on self-regulation in the United Kingdom because judicial corruption and regulatory arbitrage posed less of a threat. In this light, self-regulation is an example of a functional substitute that arose at least in part to solve the problem of endemic judicial corruption in the United States during the late nineteenth century. Again, this is an illustration of functional convergence. Second, the United Kingdom may have had a more cohesive business community than did the United States in this era, with either a stronger normative code or a perceived greater exposure to the loss of reputational capital based on any association with a securities scandal. Either factor could have restrained U.K. managers in the absence of law. Contemporary data show that the private benefits of control differ significantly among countries, even countries belonging to the same legal family.' As of the late nineteenth century, there is every reason to believe that in the United Kingdom, the business community in general, and the securities industry in particular, was more socially stratified and class-bound than in the United","","Yale Law Journal","1","10.2307/797515","https://consensus.app/papers/the-rise-of-dispersed-ownership-the-roles-of-law-and-the-coffee-john/15e6193b7bff5bf0a3bf958badf65d5c/"
"Racing Towards the Top?: The Impact of Cross-Listings and Stock Market Competition on International Corporate Governance","Cross-listing firms have higher growth prospects and are willing to sacrifice control for equity finance, but U.S. exchanges should reconsider waiving governance listing requirements for foreign issuers.","J. Coffee",2002,1053,"During the 1990's, the phenomenon of cross-listing by issuers on international exchanges accelerated, with the consequence in the case of some emerging markets that trading followed, draining the original market of its liquidity. Traditionally, cross-listing has been viewed as an attempt to break down market segmentation and reach trapped pools of liquidity in distant markets. The globalization of financial markets, however, renders this explanation increasingly dated. A superior explanation is ""bonding:"" issuers migrate to U.S. exchanges in particular because by voluntarily subjecting themselves to the U.S.'s higher disclosure standards and greater threat of enforcement (both by public and private means), they partially compensate for weak protection of minority investors under their own jurisdiction's law and also credibly signal their intention to make fuller disclosure, thereby achieving a higher market valuation and a lower cost of capital. Still, many issuers who are eligible to cross-list do not do so. Increasing evidence suggests that cross-listing firms are significantly different from firms in the same jurisdiction that do not cross-list, most notably in that the former have higher growth prospects and are willing to sacrifice some of the private benefits of control to obtain equity finance. Conversely, firms that do not cross-list typically have controlling shareholders who have less interest in stock market valuation because they anticipate selling only in a control transaction at a control premium that they will disproportionately capture. As a result, specialized markets seem likely to persist in order to accommodate both firms that wish to offer superior protections to minority investors and those that prefer to cater to controlling shareholders who want to continue to realize the private benefits of control. Path dependency then may persist. The latest developments in this new form of regulatory competition have been both (i) the creation of new ""high disclosure"" exchanges in emerging markets, and (ii) the enactment of reform legislation intended to protect minority shareholders by jurisdictions that have seen their securities markets lose liquidity to international exchanges. Both efforts seek to share control premia with minority shareholders in order to encourage equity investment. However, such efforts appear to be impeded by the continuing willingness of U.S. exchanges to waive governance listing requirements that are mandatory for their domestic firms in the case of foreign firms. Finding this new form of regulatory competition to be desirable, this article argues that its distinguishing characteristic is that it is ""exit-less"" (and thus differs from the ""issuer choice"" model of regulatory competition), and it recommends that the current broad exemption under which U.S. exchanges waive all governance listing requirements for foreign issuers should be reconsidered.","","Corporate Law: Securities Law eJournal","","10.2139/ssrn.315840","https://consensus.app/papers/racing-towards-the-top-the-impact-of-crosslistings-and-coffee/959b8f57c70c507da5f113616fb8dd0c/"
"Can foreign firms bond themselves effectively by . . renting U.S. securities laws","Cross-listing foreign firms in New York does not effectively overcome weak legal institutions, but reputational bonding rather than legal bonding explains the success of cross-listings.","J. Siegel",2005,616,"","","Journal of Financial Economics","1","10.1016/j.jfineco.2004.02.001","https://consensus.app/papers/can-foreign-firms-bond-themselves-effectively-by-renting-siegel/8e350b62baa25a9581bcc1482e650245/"
"Why Do Companies Go Public? An Empirical Analysis","Companies go public to increase market value, reduce leverage, and access bank credit, but often lead to abnormal reductions in profitability and increased turnover of control.","M. Pagano, F. Panetta, Luigi Zingales",1995,2068,"This paper empirically analyzes the determinants of an initial public offering (IPO) and the consequences of this decision on a company's investment and financial policy. We compare both the ex ante and the ex post characteristics of IPOs with those of a large sample of privately held companies of similar size. We find that (i) the likelihood of an IPO is positively related to the market-to-book ratio prevailing in the relevant industrial sector and to a company's size, (ii) IPOs are followed by an abnormal reduction in profitability, (iii) the new equity capital raised upon listing is not used to finance subsequent investment and growth, but to reduce leverage, (iv) going public reduces the cost of bank credit; (v) it is often associated by equity sales by controlling shareholders, and is followed by a higher turnover of control than for other companies.","","Chicago Booth PCE: Entrepreneurship & Finance (Topic)","","10.1111/0022-1082.25448","https://consensus.app/papers/why-do-companies-go-public-an-empirical-analysis-pagano-panetta/11228e44db07591d8e74af69ebc5bf90/"
"COVID-19 pandemic impact on banking sector: A cross-country analysis","The COVID-19 pandemic significantly reduced bank performance and stability across various regions and income classifications, while a better regulatory environment, institutional quality, and financial development increased their strength and resilience.","M. Shabir, Ping Jiang, Wenhao Wang, Özcan Işık",2023,79,"","non-rct observational study","Journal of Multinational Financial Management","1","10.1016/j.mulfin.2023.100784","https://consensus.app/papers/covid19-pandemic-impact-on-banking-sector-a-crosscountry-shabir-jiang/7f57de6fac275158ab2169b84eccd4ae/"
"Institutional influences on board composition of international joint venture firms listing on emerging stock exchanges: Evidence from Africa","International joint venture boards in emerging African countries play a significant external role in promoting social and political legitimacy, with increasing proportions of board members from commercial and governmental social elites.","B. Hearn",2014,56,"","","Journal of World Business","1","10.1016/j.jwb.2014.04.006","https://consensus.app/papers/institutional-influences-on-board-composition-of-hearn/9cb9e696e281597c985dc9a3139d6099/"
"Institutional quality and
 initial public offering
 underpricing: Evidence from Hong Kong","Institutional quality, specifically voice and accountability, negatively impacts IPO underpricing in Hong Kong, while government effectiveness and rule of law positively influence it.","Haitian Wei, Rasidah Mohd‐Rashid, Waqas Mehmood, A. Tajuddin",2021,13,"Correspondence Waqas Mehmood, School of Economics, Finance and Banking, Universiti Utara Malaysia, 06010, Sintok, Kedah, Malaysia. Email: waqas.mehmood61@gmail.com The main objective of this research is to investigate the impact of institutional quality on the underpricing of IPOs in Hong Kong. Besides, ordinary least squares presented in the study used quantile regression as a robust technique to investigate the association of institutional quality and the underpricing level of 986 IPO from January 2000 to December 2017 in the Hong Kong stock market. Through research findings, it is asserted that voice and accountability, regulatory quality, control of corruption and firm size are significantly negatively correlated. Whereas, government effectiveness and rule of law are significantly positively correlated in influencing the underpricing of IPO in Hong Kong. Findings are consistent with the quantile regression analysis. The research is beneficial to the main participants of the market, such as investors, issuers and regulators.","","Journal of Public Affairs","1","10.1002/pa.2676","https://consensus.app/papers/institutional-quality-and-initial-public-offering-wei-mohd%E2%80%90rashid/1cfc28f7406856ffb1606994d59be91d/"
"Institutional environment and determinants of adjustment speed to the target capital structure in the MENA region","Good quality institutions in the MENA region strengthen the effects of firm profitability, non-debt tax savings, and growth opportunities on leverage, while reducing the effects of firm size and returns volatility on adjustment speed.","Marwa Touil, C. Mamoghli",2020,26,"","","Borsa Istanbul Review","1","10.1016/j.bir.2019.12.003","https://consensus.app/papers/institutional-environment-and-determinants-of-touil-mamoghli/f99f2ce0c173551ab8acdadd2d432e1c/"
"Does Disclosure Regulation Work? Evidence from International IPO Markets","Increased disclosure regulation in IPO prospectuses reduces IPO underpricing, with capital market integration playing a key role in understanding the economic consequences of disclosure regulation.","Charles Shi, Kuntara Pukthuanthong, Thomas J. Walker",2012,76,"This study examines whether IPO disclosure requirements mandated by countries’ securities laws are associated with variation in IPO underpricing in international IPO markets. Our empirical analysis uses a unique sample of 6,025 IPOs from 34 countries over the period from 1995 to 2002. We show for the first time that the stringency of disclosure requirements for IPO prospectuses is negatively associated with the extent of IPO underpricing, after controlling for various country- and firm-level determinants of underpricing. Moreover, we find that the disclosure effect on IPO underpricing is moderated by the extent of a country’s capital market integration. Taken together, our findings are consistent with the view that increased disclosure regulation appears to reduce IPO underpricing and hence the cost of equity, and that institutional factors such as capital market integration play an important role in understanding the economic consequences of disclosure regulation in international IPO markets.","","Corporate Finance: Capital Structure & Payout Policies eJournal","","10.1111/j.1911-3846.2012.01158.x","https://consensus.app/papers/does-disclosure-regulation-work-evidence-from-shi-pukthuanthong/8b417c6d0a56525381111d42f5d616c3/"
"IPO underpricing and international corporate governance","IPO underpricing is higher in countries with stronger investor influence, as it is a cost for insiders to maintain control and generate excess demand.","Thomas J. Boulton, Scott B. Smart, C. Zutter",2007,217,"It is well established that a link exists between a country's legal system and the size, liquidity, and value of its capital markets. We study how differences in country-level governance affect the underpricing of initial public offerings (IPOs). Examining 4462 IPOs across 29 countries from 2000 to 2004, we find the surprising result that underpricing is higher in countries with corporate governance that strengthens the position of investors relative to insiders. We conjecture that when countries give outsiders more influence, IPO issuers underprice more to generate excess demand for the offer, which in turn leads to greater ownership dispersion and reduces outsiders’ incentives to monitor the behavior of corporate insiders. In other words, underpricing is a cost that insiders pay to maintain control in countries with legal systems designed to empower outsiders. Consistent with this control motivation for underpricing, we find that underpricing has a negative association with post-IPO outside blockholdings and a positive association with private control benefits. In addition, firms whose insiders are entrenched either by majority ownership or by dual-class structures do not underprice more in countries with better governance. In these firms the ownership structure protects managers from outside influence, eliminating the incentive to increase outside ownership dispersion through underpricing.","","Journal of International Business Studies","1","10.1057/jibs.2009.38","https://consensus.app/papers/ipo-underpricing-and-international-corporate-governance-boulton-smart/50f83847949b550fa5475a7340f60256/"
